gfs_id,institution,department,collection,size,gfs_size,electronic_metadata,published_digital_records,size_comments,metadata_scope_comments,catalog_url,catalog_comments,type_of_things,places,names,dates,subjects,academic_department,division,top_category,source_id,collection_digitized,how_many_digitized_versions,collection_digitized_comments,priority
prm-smyly-papers,PRM,Manuscripts,Smyly Papers,50,,Some,1,,,,,archives; manuscripts; correspondence; drawings; watercolours,Sierra Leone; Africa; Gold Coast,Sir Philip Crampton SMYLY (1866-1953),[GFS to derive dates from life dates in Names field],anthropology,Anthropology & Museum Ethnography,Social Sciences,"text, images",,,?,,
prm-spencer-papers,PRM,Manuscripts,Spencer Papers,100,,All,100,,,,,archives; manuscripts; correspondence; notes; drawings,Australia,Sir Walter Baldwin SPENCER (1860-1929),[GFS to derive dates from life dates in Names field],anthropology; expeditions; Aboriginal Australia; biology,"Anthropology & Museum Ethnography; Physiology, Anatomy & Genetics",Social Sciences; Medical Sciences,"text, images",,,?,,
prm-temple-papers,PRM,Manuscripts,Temple Papers,50,,Some,1,,,,,archives; manuscripts; correspondence; notes; drawings,,Sir Richard Carnac TEMPLE (1850-1931),[GFS to derive dates from life dates in Names field],anthropology; currency; numismatics,Anthropology & Museum Ethnography; Classics; History of Art,Social Sciences; Humanities,"text, images",,,?,,
prm-thesiger-papers,PRM,Manuscripts,Thesiger Papers,50,,Some,1,,,,,archives; manuscripts; correspondence; typescripts; ephemera,Kenya; Africa,Sir Wilfred Patrick THESIGER (1910-2003),[GFS to derive dates from life dates in Names field],anthropology,Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-thomson-papers,PRM,Manuscripts,Thomson Papers,100,,Some,1,,,,,archives; manuscripts; notes; typescripts; drawings; newspaper cuttings,,Arthur THOMSON (1858-1935),[GFS to derive dates from life dates in Names field],anthropology; anatomy,"Anthropology & Museum Ethnography; Physiology, Anatomy & Genetics; History",Social Sciences; Medical Sciences; Humanities,"text, images",,,?,,
prm-tobert-papers,PRM,Manuscripts,Tobert Papers,100,,Some,1,,,,,archives; manuscripts; notebooks; drawings; maps; dissertations,Sudan,Natalie TOBERT (b. 1953),[GFS to derive dates from life dates in Names field],anthropology; pottery; ceramics; art,Anthropology & Museum Ethnography; History of Art,Social Sciences; Humanities,"text, images",,,?,,
prm-tylor-papers,PRM,Manuscripts,Tylor Papers,630,,All,630,,,,,archives; manuscripts; correspondence; notebooks; notes; manuscripts; drawings; article offprints,,Sir Edward Burnett TYLOR (1832-1917),[GFS to derive dates from life dates in Names field],anthropology,Anthropology & Museum Ethnography,Social Sciences,"text, images",,,?,,
prm-waddell-papers,PRM,Manuscripts,Waddell Papers,50,,Some,1,1 box,,,,archives; manuscripts; notes; maps,Uganda,Gordon P. WADDELL (fl. 1957-fl. 1974),[GFS to derive dates from life dates in Names field],anthropology,Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-webb-papers,PRM,Manuscripts,Webb Papers,unknown,,Some,1,,,,,archives; manuscripts; audio & video,England; Scotland; Europe; Africa,Anthony Damian WEBB (1918–1990),[GFS to derive dates from life dates in Names field],anthropology; songs; folk songs; dance; music,Anthropology & Museum Ethnography; English Language and Literature,Social Sciences; Humanities,"text, sound & moving image",,,?,,
prm-wenzel-papers,PRM,Manuscripts,Wenzel Papers,150,,Some,1,3 boxes,,,,archives; manuscripts; notes; drawings,Egypt; Nubia,Marian Barbara WENZEL (1932-2002),[GFS to derive dates from life dates in Names field],anthropology; Nubian house decoration; art history,Anthropology & Museum Ethnography; History of Art,Social Sciences; Humanities,text,,,?,,
prm-westlake-papers,PRM,Manuscripts,Westlake Papers,250,,All,250,,,http://www.westlakehistory.info/,,archives; manuscripts; correspondence; notebooks; notes; drawings; maps; article offprints; ephemera,,Ernest WESTLAKE (1855-1922),[GFS to derive dates from life dates in Names field],anthropology; stone tools; geology,Anthropology & Museum Ethnography; Earth Sciences,Social Sciences; MPLS,text,,,?,,
prm-woodthorpe-papers,PRM,Manuscripts,Woodthorpe Papers,50,,Some,1,1 box,,,,archives; manuscripts; diaries; notes; drawings; watercolours,Nagaland; India; Thailand,Robert Gosset WOODTHORPE (1844-1898),[GFS to derive dates from life dates in Names field],anthropology,Anthropology & Museum Ethnography,Social Sciences,text,,,?,,
prm-books,PRM,Books,Balfour Library,"46,700",,All,46700,,in SOLO,solo.bodleian.ox.ac.uk,,books; journals; pamphlets,,,[GFS to derive dates from item-level metadata in SOLO] ,anthropology,Anthropology & Museum Ethnography,Social Sciences,text,,N,,,
bod-bodleian-japanese-library,BOD,Oriental Collections,Bodleian Japanese Library,"132,380",,All,,"130,500 monograph volumes, c. 500 current periodical titles, over 1,000 titles of early printed books, about 100 manuscripts, c.70 audio recordings, 180 video tapes, 30 CD-ROMs.",,solo.bodleian.ox.ac.uk,http://libguides.bodleian.ox.ac.uk/oriental-sc,books,Japan,,1600-2016,"Agriculture, Anthropology, archaeology, Arts, Communication and media, Development, Economics, Education, Environmental sciences, Geography, history, Human rights, Industries, International relations, Language, Law, Literature, Music, Philosophy, Politics and government, Recreation, Religion, Sociology, Travel, Women.",Oriental Studies; Theology and Religion; Interdisciplinary Area Studies,"Humanities, Social Sciences",text,,,?,,
bod-hebraica-ethiopic,BOD,Oriental Collections,"Hebraica, Judaica & Semitics: Ethiopic",130,,None,0,,,,"http://solo.ouls.ox.ac.uk/OXVU1:LSCOP_OX:oxfaleph013688579, http://solo.ouls.ox.ac.uk/OXVU1:LSCOP_OX:oxfaleph010214297",manuscripts,,,1200-1699,"Anthropology, archaeology, history, Language, Religion",Oriental Studies; Theology and Religion; Interdisciplinary Area Studies,"Humanities, Social Sciences",text,,N,0,,
bod-hebraica-cairo-genizah,BOD,Oriental Collections,"Hebraica, Judaica & Semitics: Cairo Genizah","25,000",,All,25000,,,http://genizah.bodleian.ox.ac.uk/,We have no metadata. Actual format is TEIXML and in online genizah catalogue,Genizah fragments; manuscripts,,,,?,,,,,Y,?,,
bod-hebraica-lewis-gibson-genizah,BOD,Oriental Collections,"Hebraica, Judaica & Semitics: Lewis-Gibson Genizah","1,700",,None,0,,,,http://solo.bodleian.ox.ac.uk/OXVU1:LSCOP_OX:oxfaleph017143025,Genizah fragments; manuscripts,,,800-1899,?,,,,,N,0,,
bod-hebraica-syriac-manuscripts,BOD,Oriental Collections,"Hebraica, Judaica & Semitics: Syriac Manuscripts",117,,Some,96,,,96 of the manuscripts are described here http://allegro.bodleian.ox.ac.uk/orientalmss/ (we have the metadata),"http://solo.ouls.ox.ac.uk/OXVU1:LSCOP_OX:oxfaleph013964592

There are three places these are described. SOLO (Record in column H), This handlist http://libguides.bodleian.ox.ac.uk/ld.php?content_id=17931955 and in the online catalogue (Column G)",manuscripts,,,1500-1900,?,,,,,N,0,,
bod-nipponica-collection,BOD,Oriental Collections,Nipponica collection,"1,000",,None,0,,,,http://solo.ouls.ox.ac.uk/OXVU1:LSCOP_OX:oxfaleph014247803,books; manuscripts; maps; visual materials,,,1600-1880,"Arts, history, Language, Literature, Philosophy, Religion.",,,,,N,0,,
bod-central-asian-collection,BOD,Oriental Collections,Central Asian collection,"10,000",,Some,?,,"For the printed books, there is a card catalogue in the Oriental Reading Room. From 1990, the material can be found on OLIS. Most of the manuscripts are described in volume 2 of a printed catalogue by Sachau, E., Ethé, H. & Beeston, A.F.L.",,http://solo.bodleian.ox.ac.uk/OXVU1:LSCOP_OX:oxfaleph010214307,archives; books; serials,,,1435-2016,"Language, Literature.",Oriental Studies,Humanities,text,,N,0,,
bod-coptic-collection-manuscripts,BOD,Oriental Collections,Coptic collection: Manuscripts,820,,None,0,,,,"Bibliothecae Bodleianae codicum manuscriptorum orientalium ... catalogus. Volume 1 [digitised catalogue best viewed in Firefox or Chrome]
    by J. Uri (Oxford, 1787). (Contains descriptions in Latin of 105 Christian Arabic and 1,219 Islamic Arabic manuscripts; author index only).
    Catalogue of the Clarendon Press Sahidic fragments deposed in the Bodleian Library (manuscript slips)
    by Henri Hyvernat, 1878.
    Kahle, 1954.
    Handwritten notes by Paul Kahle on various Arabic manuscripts. Available on request from the Curator in the Charles Wendell David Reading Room.",codices; papyri,,,527BC-2016,"archaeology, history, Language, Literature, Religion.",Oriental Studies,Humanities,text,,N,0,,
bod-indic-paintings,BOD,Oriental Collections,Indic: Paintings,"1,000",,None,0,,,,"See Indic section of http://libguides.bodleian.ox.ac.uk/c.php?g=422971&p=2888532

There is a long list of published guides",manuscripts; paintings,,,1095-1890,"Arts, painting",Oriental Studies; Art; History of Art,Humanities,images,,%,?,Kalighat paintings in digital.bodleian,
bod-islamic-collections,BOD,Oriental Collections,Islamic collections,"5,500",,Some,4000,,,fihrist.bodleian.ox.ac.uk,http://libguides.bodleian.ox.ac.uk/oriental-sc,manuscripts,,,950-1450,"Arts, Geography, history, Language, Law, Literature, Medicine, Music, Philosophy, Religion, Science and technology.",Oriental Studies; Theology and Religion; Philosophy,Humanities,text,bod-islamic-tei,%,?,There are some in digital.bodleian,1
bod-indic-manuscripts,BOD,Oriental Collections,"Indic: Manuscripts, Excluding Sanskrit",921,,None,0,,,,See Indic section of http://libguides.bodleian.ox.ac.uk/c.php?g=422971&p=2888532,manuscripts,,,1443-2016,"Agriculture, Anthropology, archaeology, Communication and media, Economics, Education, Environmental sciences, Language, Literature, Medicine, Music, Philosophy, Religion.",Oriental Studies; Theology and Religion; Philosophy,Humanities,text,,N,0,,
bod-mongolian-collection,BOD,Oriental Collections,Mongolian collection,800,,All,0,,,solo.bodleian.ox.ac.uk,http://libguides.bodleian.ox.ac.uk/oriental-sc,books; manuscripts; serials,,,1712-2016,"history, Language, Literature, Religion.",Oriental Studies; Theology and Religion; Philosophy,Humanities,text,,N,0,,
bod-sanskrit-manuscript-collection,BOD,Oriental Collections,Sanskrit manuscript collection,"8,700",,None,0,,,,See the Sanskrit Section of http://libguides.bodleian.ox.ac.uk/c.php?g=422971&p=2888532,manuscripts,,,400-1900,"history, Language, Literature, Religion.",Oriental Studies; Theology and Religion; Philosophy,Humanities,text,,N,0,,
bod-classical-indology-pali,BOD,Oriental Collections,Classical Indology: Pali Manuscripts,161,,None,0,,,,"http://dbooks.bodleian.ox.ac.uk/books/PDFs/N12030761.pdf, 
‘Classified list of the Pali manuscripts in the Bodleian Library’
by O. Frankfurter (manuscript, 1880). Available in the Charles Wendell David Reading Room.
, http://solo.ouls.ox.ac.uk/OXVU1:LSCOP_OX:oxfaleph011071787",manuscripts,,,,"history, Language, Literature, Religion.",Oriental Studies; Theology and Religion; Philosophy,Humanities,text,,N,0,,
bod-classical-indology-prakrit,BOD,Oriental Collections,Classical Indology: Prakrit Manuscripts,84,,None,0,,,,See Prakrit section of http://libguides.bodleian.ox.ac.uk/c.php?g=422971&p=2888532,manuscripts,,,,"history, Language, Literature, Religion.",Oriental Studies; Theology and Religion; Philosophy,Humanities,text,,N,0,,
bod-classical-indology-pashto,BOD,Oriental Collections,Classical Indology: Pashto,6,,All,6,,,http://www.fihrist.org.uk/search/results?language=Pushto%3B+Pashto,http://libguides.bodleian.ox.ac.uk/oriental-sc,manuscripts,,,,"history, Language, Literature, Religion.",Oriental Studies; Theology and Religion; Philosophy,Humanities,text,,N,0,,
bod-classical-indology-tami-kannada,BOD,Oriental Collections,Classical Indology: Tamil & Kannada,?,,None,?,,,,"Catalogue of the Tamil and Canarese manuscripts in the Bodleian Library
    by G.V. Pope (manuscript slips, n.d.). Available in the Charles Wendell David Reading Room.
",manuscripts,,,,"history, Language, Literature, Religion.",Oriental Studies; Theology and Religion; Philosophy,Humanities,text,,N,0,,
bod-classical-indology-urdu,BOD,Oriental Collections,Classical Indology: Urdu,?,,None,?,,,,http://menadoc.bibliothek.uni-halle.de/ssg/content/pageview/775141,manuscripts,,,,"history, Language, Literature, Religion.",Oriental Studies; Theology and Religion; Philosophy,Humanities,text,,N,0,,
bod-classical-indology-sinhalese,BOD,Oriental Collections,Classical Indology: Sinhalese,?,,None,?,,,,"‘Sinhala palm-leaf manuscripts in the Bodleian Library Oxford'
    by J. Liyanaratne, in Bodleian Library Record, XIII (1991) pp. 514-518. A handlist of 48 previously unidentified Sinhala manuscripts in the Bodleian's collection.
    ‘Sri Lankan Medical manuscripts in the Bodleian Library, Oxford’
    by J. Liyanaratne in Journal of the European Ayruvedic Society, vol. 2 (1992) pp. 36-53. (Lists and describes the Bodleian's collection of 36 palm-leaf manuscripts in Sinhala script.",manuscripts,,,,"history, Language, Literature, Religion.",Oriental Studies; Theology and Religion; Philosophy,Humanities,text,,N,0,,
bod-classical-indology-telugu,BOD,Oriental Collections,Classical Indology: Telugu,?,,None,?,,,,"Manuscripts in the Telegu or Tenugu language which is the vernacular of Masulipatam and the Northern Circats in India
    (manuscript; [Oxford], n.d.) Available in the Charles Wendell David Reading Room.",manuscripts,,,,"history, Language, Literature, Religion.",Oriental Studies; Theology and Religion; Philosophy,Humanities,text,,N,0,,
bod-classical-indology-tibetan,BOD,Oriental Collections,Classical Indology: Tibetan,"1,670",,None,?,"1,500 xylographs, ca. 170 manuscripts",,,http://www.bodleian.ox.ac.uk/__data/assets/pdf_file/0010/193807/JESD-Tibetan-mss-catalogue-optimized.pdf,manuscripts; xylographs,,,,"history, Language, Literature, Religion, Buddhism",Oriental Studies; Theology and Religion; Philosophy,Humanities,text,,N,0,,
bod-classical-indology-persian,BOD,Oriental Collections,Classical Indology: Persian,?,,None,?,,,http://www.asiamap.ac.uk/collections/collection.php?ID=246&Query=Bodleian&Order=0&pp=30&View=0&Level=Child,See Persian section of http://libguides.bodleian.ox.ac.uk/c.php?g=422971&p=2888527,manuscripts,,,,"history, Language, Literature, Religion.",Oriental Studies; Theology and Religion; Philosophy,Humanities,text,,,?,,
bod-india-institute-library,BOD,Oriental Collections,India Institute Library,"16,000",,Some,?,,,solo.bodleian.ox.ac.uk,,official publications,,,[GFS to derive from item-level metadata],"Agriculture, Anthropology, archaeology, Arts, Communication and media, Development, Economics, Education, Environmental sciences, Geography, Industries, International relations, Language, Medicine, Politics and government.",Oriental Studies; Theology and Religion; Philosophy,Humanities,text,,,?,,
hrb,HRB,Plant Sciences,Herbaria,"1,000,000",,Some,55867,,there are more digital metadata records that are offline,http://herbaria.plants.ox.ac.uk/bol/oxford/Explore,http://herbaria.plants.ox.ac.uk/bol/oxford/visits,plant specimens,,,unspecified,"Plant sciences, biology, ",Plant Sciences,MPLS,specimens,hrb-preserved,%,?,,1
ash-ancient-agean,ASH,Antiquities: Objects,Ancient Agean,7000,,Some,4820,,"For the Ashmolean, this represents online record... which aren't necessarily in Museum+",,http://www.ashmolean.org/research/,sculpture,Knossos; Greece; Crete,,7000-1100BC,"archaeology, art history",Archaeology; Classics; History of Art,"Social Sciences, Humanities",objects,MuseumPlus,MuseumPlus,0,,All
ash-ancient-cyprus,ASH,Antiquities: Objects,Ancient Cyprus,7000,,Some,6529,,,,http://www.ashmolean.org/research/,sculpture,Cyprus,,800BC-500AD,"archaeology, art history",Archaeology; Classics; History of Art,"Social Sciences, Humanities",objects,MuseumPlus,MuseumPlus,0,,All
ash-ancient-egypt-and-sudan,ASH,Antiquities: Objects,Ancient Egypt and Sudan,60000,,Some,10170,,,,http://www.ashmolean.org/research/,sculpture,"Egypt, Sudan",,[GFS to derive from item-level metadata],"archaeology, art history",Archaeology; Classics; History of Art,"Social Sciences, Humanities",objects,MuseumPlus,MuseumPlus,0,,All
ash-ancient-greece,ASH,Antiquities: Objects,Ancient Greece,9000,,Some,6822,,,,http://www.ashmolean.org/research/,vases; sculpture; inscriptions; gems; sculpture,Greece,,1200BC-500AD,"archaeology, art history, etruscans",Archaeology; Classics; History of Art,"Social Sciences, Humanities",objects,MuseumPlus,MuseumPlus,6,,All
ash-ancient-near-east,ASH,Antiquities: Objects,Ancient Near East,60000,,Some,16955,,,http://www.ashmolean.org/ash/objects/makegallery.php?pmu=138&mu=150&gty=brow&sec=&dtn=20&cpa=1,http://www.ashmolean.org/research/,tablets; seals; terracottas,Near East,,1200BC-500AD,"archaeology, art history",Archaeology; Classics; History of Art,"Social Sciences, Humanities",objects,MuseumPlus,MuseumPlus,393,,All
ash-british-archaeology,ASH,Antiquities: Objects,British Archaeology,200000,,Some,45292,,,,http://www.ashmolean.org/research/,sculpture,,,[GFS to derive from item-level metadata],archaeology,Archaeology; Classics; History of Art,"Social Sciences, Humanities",objects,MuseumPlus,MuseumPlus,0,,All
ash-medieval-and-later-europe,ASH,Antiquities: Objects,Medieval and Later Europe,5000,,Some,3103,,,http://www.ashmolean.org/ash/objects/makegallery.php?pmu=153&mu=154&gty=asea&cpa=1&dtn=15&obj=&date=&anum=&pop=&cre=&des=&eda=1000&lda=1500&Search=Search,http://www.ashmolean.org/research/,seals; jewellery; rings,Europe,John Evans; Richard Rawlinson,1000-1500AD,,Archaeology; Classics; History of Art,"Social Sciences, Humanities",objects,MuseumPlus,MuseumPlus,97,,All
ash-mediterranean-world,ASH,Antiquities: Objects,Mediterranean World,7000,,Some,"5,958",,,,http://www.ashmolean.org/research/,sculpture,,,[GFS to derive from item-level metadata],Byzantium; Roman; ,Archaeology; Classics; History of Art,"Social Sciences, Humanities",objects,,,0,,All
ash-prehistoric-europe,ASH,Antiquities: Objects,Prehistoric Europe,12000,,Some,8723,,,,http://www.ashmolean.org/research/,sculpture,Europe,John Evans,[GFS to derive from item-level metadata],,Archaeology; Classics; History of Art,"Social Sciences, Humanities",objects,,,0,,All
ash-founding-collection,ASH,Antiquities: Objects,Founding Collection,255,,Some,261,,,http://www.ashmolean.museum/ash/amulets/tradescant/,http://www.ashmolean.org/research/,sculpture; paintings; drawings,,John Tradescant,[GFS to derive from item-level metadata],,Archaeology; Classics; History of Art,"Social Sciences, Humanities",objects,,,22,,All
ash-sir-arthur-evans-series-includes-knossos-excavation-archive,ASH,Antiquities: Archives,Sir Arthur Evans Series (includes Knossos Excavation Archive),14232,,None,0,,,,http://www.ashmolean.org/research/,papers; photographs; documents; correspondence; newspaper cuttings,Knossos,John Evans,[GFS to derive from item-level metadata],,Archaeology; Classics; History of Art,"Social Sciences, Humanities",text,,,,,All
ash-et-leeds-archive,ASH,Antiquities: Archives,E.T Leeds Archive,unknown,,None,0,,,http://www.ashmolean.org/ash/amps/leeds/,http://www.ashmolean.org/research/,documents; archives,,Edward Thurlow Leeds,[GFS to derive from item-level metadata],archaeology; Anglo Saxons,Archaeology; Classics; History of Art,"Social Sciences, Humanities",text,,,,,All
ash-percy-manning-archive,ASH,Antiquities: Archives,Percy Manning Archive,"1,764",,None,0,,,http://www.ashmolean.org/ash/amps/oha/ArchivePages/Manning1.html,http://www.ashmolean.org/research/,documents; archives,Oxfordshire,Percy Manning,[GFS to derive from item-level metadata],archaeology,Archaeology; Classics; History of Art,"Social Sciences, Humanities",text,,,,,All
ash-george-rolleston-archive,ASH,Antiquities: Archives,George Rolleston Archive,"5,000",,None,0,,,http://britisharchaeology.ashmus.ox.ac.uk/highlights/rolleston.html,http://www.ashmolean.org/research/,documents; archives,Oxfordshire,George Rolleston,[GFS to derive from item-level metadata],archaeology,Archaeology; Classics; History of Art,"Social Sciences, Humanities",text,,,,,All
ash-donald-harden-archive,ASH,Antiquities: Archives,Donald Harden Archive,399,,None,0,,,http://www.ashmolean.org/ash/amps/oha/ArchivePages/Harden.html,http://www.ashmolean.org/research/,documents; archives,Oxfordshire,Donald Harden,[GFS to derive from item-level metadata],archaeology,Archaeology; Classics; History of Art,"Social Sciences, Humanities",text,,,,,All
ash-christopher-musgrave-archive,ASH,Antiquities: Archives,Christopher Musgrave Archive,252,,None,0,,,http://www.ashmolean.museum/php/am-search.php?&db=musgrave,http://www.ashmolean.org/research/,documents; archives,Oxfordshire,Christopher Musgrave,[GFS to derive from item-level metadata],archaeology,Archaeology; Classics; History of Art,"Social Sciences, Humanities",text,,,,,All
ash-martyn-jope-archive,ASH,Antiquities: Archives,Martyn Jope Archive,"1,012",,None,0,,,http://www.ashmolean.museum/php/am-search.php?&db=jope,http://www.ashmolean.org/research/,documents; archives,Oxfordshire,Martyn Jope,[GFS to derive from item-level metadata],archaeology,Archaeology; Classics; History of Art,"Social Sciences, Humanities",text,,,,,All
ash-john-myers-archive,ASH,Antiquities: Archives,John Myers Archive,12,,None,12,,,,http://www.ashmolean.org/research/,documents; archives,,John Myers,[GFS to derive from item-level metadata],archaeology,Archaeology; Classics; History of Art,"Social Sciences, Humanities",text,,,,,All
ash-jh-parker-series,ASH,Antiquities: Archives,J.H. Parker Series,unknown,,None,0,,,,http://www.ashmolean.org/research/,documents; archives,,John Henry Parker,[GFS to derive from item-level metadata],archaeology,Archaeology; Classics; History of Art,"Social Sciences, Humanities",text,,,,,All
ash-munro-series,ASH,Antiquities: Archives,Munro Series,unknown,,None,0,,,,http://www.ashmolean.org/research/,documents; archives,Cyprus,John Arthur Ruskin Munro,[GFS to derive from item-level metadata],archaeology,Archaeology; Classics; History of Art,"Social Sciences, Humanities",text,,,,,All
ash-kish-excavations,ASH,Antiquities: Archives,Kish Excavations,unknown,,None,0,,,,http://www.ashmolean.org/research/,documents; archives,"Kish, Iran",,[GFS to derive from item-level metadata],archaeology,Archaeology; Classics; History of Art,"Social Sciences, Humanities",text,,,,,All
ash-emden-series,ASH,Antiquities: Archives,Emden Series,unknown,,None,0,,,,http://www.ashmolean.org/research/,documents; archives,,Alfred Brotherston Emden,[GFS to derive from item-level metadata],archaeology,Archaeology; Classics; History of Art,"Social Sciences, Humanities",text,,,,,All
ash-parker---hore-collection,ASH,Antiquities: Archives,Parker - Hore Collection,"2,854",,None,0,,,,http://www.ashmolean.org/research/,archives; manuscripts; correspondence; drawings; watercolours,,Frances Parker; Irene Hore,[GFS to derive from item-level metadata],archaeology,Archaeology; Classics; History of Art,"Social Sciences, Humanities",text,,,,,All
ash-megalith-series,ASH,Antiquities: Archives,Megalith Series,unknown,,None,0,,,,http://www.ashmolean.org/research/,documents; archives,,,[GFS to derive from item-level metadata],archaeology,Archaeology; Classics; History of Art,"Social Sciences, Humanities",text,,,,,All
ash-piet-de-yong,ASH,Antiquities: Archives,Piet de Yong,92,,None,0,,,,http://www.ashmolean.org/research/,drawings; cartoons; personal items,,,[GFS to derive from item-level metadata],archaeology; art,Archaeology; Classics; History of Art,"Social Sciences, Humanities","text, image",,,,,All
ash-misc-british-archaeol-archives,ASH,Antiquities: Archives,Misc British Archaeol Archives,unknown,,None,0,,,,http://www.ashmolean.org/research/,documents; archives,,archaeology,[GFS to derive from item-level metadata],archaeology; art,Archaeology; Classics; History of Art,"Social Sciences, Humanities",text,,,,,All
ash-british-archaeol-topographic-files,ASH,Antiquities: Archives,British Archaeol Topographic files,unknown,,None,0,,,,http://www.ashmolean.org/research/,documents; archives,,,[GFS to derive from item-level metadata],archaeology; art,Archaeology; Classics; History of Art,"Social Sciences, Humanities",text,,,,,All
ash-allen-air-photos,ASH,Antiquities: Archives,Allen Air Photos,"1,702",,All,"1,702",,,http://www.ashmolean.org/ash/objects/?mu=422,http://www.ashmolean.org/research/,photographs,Oxfordshire,Major George Allen,1891-1940,archaeology; art,Archaeology; Classics; History of Art,"Social Sciences, Humanities",text,,,,,All
ash-riley-air-photos,ASH,Antiquities: Archives,Riley Air Photos,263,,All,263,,,http://www.ashmolean.org/ash/objects/?mu=575,http://www.ashmolean.org/research/,photographs,Oxfordshire,Derrick Riley,1915-1993,archaeology; art,Archaeology; Classics; History of Art,"Social Sciences, Humanities",text,,,,,All
ash-passmore-series,ASH,Antiquities: Archives,Passmore Series,unknown,,None,0,,,,http://www.ashmolean.org/research/,documents; archives,,,[GFS to derive from item-level metadata],archaeology; art,Archaeology; Classics; History of Art,"Social Sciences, Humanities",text,,,,,All
ash-euesperides-series,ASH,Antiquities: Archives,Euesperides Series,unknown,,None,0,,,,http://www.ashmolean.org/research/,documents; archives,,,[GFS to derive from item-level metadata],archaeology; art,Archaeology; Classics; History of Art,"Social Sciences, Humanities",text,,,,,All
ash-near-east-archaeological-archives,ASH,Antiquities: Archives,Near East archaeological archives,unknown,,None,0,,,,http://www.ashmolean.org/research/,documents; archives,,,[GFS to derive from item-level metadata],archaeology; art,Archaeology; Classics; History of Art,"Social Sciences, Humanities",text,,,,,All
ash-burgon-archive,ASH,Antiquities: Archives,Burgon Archive,"2,400",,None,0,,,,http://www.ashmolean.org/research/,drawings,,,[GFS to derive from item-level metadata],archaeology; art,Archaeology; Classics; History of Art,"Social Sciences, Humanities",text,,,,,All
ash-brass-rubbings,ASH,Antiquities: Archives,Brass Rubbings,"10,000",,Some,"5,114",,,http://www.ashmolean.org/ash/objects/?mu=504,http://www.ashmolean.org/research/,rubbings,,,[GFS to derive from item-level metadata],archaeology; art,Archaeology; Classics; History of Art,"Social Sciences, Humanities",text,,,,,All
ash-hattatt-series,ASH,Antiquities: Archives,Hattatt Series,,,None,0,,,,http://www.ashmolean.org/research/,documents; archives,,,[GFS to derive from item-level metadata],archaeology; art,Archaeology; Classics; History of Art,"Social Sciences, Humanities",text,,,,,All
ash-bradford-series,ASH,Antiquities: Archives,Bradford Series,,,None,0,,,,http://www.ashmolean.org/research/,documents; archives,,,[GFS to derive from item-level metadata],archaeology; art,Archaeology; Classics; History of Art,"Social Sciences, Humanities",text,,,,,All
ash-ashmolean-building-series,ASH,Antiquities: Archives,Ashmolean Building Series,,,None,0,,,,http://www.ashmolean.org/research/,documents; archives,,,[GFS to derive from item-level metadata],archaeology; art,Archaeology; Classics; History of Art,"Social Sciences, Humanities",text,,,,,All
ash-glass-negatives-of-objects,ASH,Antiquities: Archives,Glass Negatives of Objects,,,None,0,,,,http://www.ashmolean.org/research/,glass plate negatives,,,[GFS to derive from item-level metadata],archaeology; art,Archaeology; Classics; History of Art,"Social Sciences, Humanities",text,,,,,All
ash-bw-negatives-of-objects,ASH,Antiquities: Archives,B&W negatives of Objects,,,None,0,,,,http://www.ashmolean.org/research/,negatives; photographs,,,[GFS to derive from item-level metadata],archaeology; art,Archaeology; Classics; History of Art,"Social Sciences, Humanities",text,,,,,All
ash-ektas-of-objects,ASH,Antiquities: Archives,Ektas of Objects,,,None,0,,,,http://www.ashmolean.org/research/,photographs,,,[GFS to derive from item-level metadata],archaeology; art,Archaeology; Classics; History of Art,"Social Sciences, Humanities",text,,,,,
ash-microfilm,ASH,Antiquities: Archives,Microfilm,,,None,0,,,,http://www.ashmolean.org/research/,microfilm,,,[GFS to derive from item-level metadata],archaeology; art,Archaeology; Classics; History of Art,"Social Sciences, Humanities",text,,,,,
ash-object-history-files,ASH,Antiquities: Archives,Object History files,12000,,None,0,,,,http://www.ashmolean.org/research/,documents,,,[GFS to derive from item-level metadata],archaeology; art,Archaeology; Classics; History of Art,"Social Sciences, Humanities",text,,,,,
ash-standlake-excavation-,ASH,Antiquities: Archives,Standlake Excavation 1954,128,,All,0,,,,http://www.ashmolean.org/research/,negatives,,,[GFS to derive from item-level metadata],archaeology; art,Archaeology; Classics; History of Art,"Social Sciences, Humanities",text,,,,,
ash-china,ASH,Eastern Art: Objects,China,"12,000",,Some,"10,952",,,http://jameelcentre.ashmolean.org/collection,http://www.ashmolean.org/research/,manuscripts; paintings,China,,3000BC-2016,"art, China, ",Art; History of Art; Oriental Studies,"Social Sciences, Humanities","objects, images",,,,,
ash-india,ASH,Eastern Art: Objects,India,"5,700",,Some,"5,460",,,http://jameelcentre.ashmolean.org/collection,http://www.ashmolean.org/research/,sculpture; ceramics; paintings,India,,3000BC-2016,"art, India",Art; History of Art; Oriental Studies,"Social Sciences, Humanities","objects, images",,,,,
ash-islamic,ASH,Eastern Art: Objects,Islamic,"4,900",,Some,"4,577",,,http://jameelcentre.ashmolean.org/collection,http://www.ashmolean.org/research/,sculpture; ceramics; paintings,Middle East,,3000BC-2016,"art, Islam",Art; History of Art; Oriental Studies,"Social Sciences, Humanities","objects, images",,,,,
